fecha;total
2023-12-31;1.105.170
2023-12-30;1.444.946
2023-12-29;2.334.644
2023-12-28;2.877.292
2023-12-27;1.865.999
2023-12-26;2.044.999
2023-12-25;699.736
2023-12-24;1.033.833
2023-12-23;1.456.941
2023-12-22;2.198.659
2023-12-21;2.616.604
2023-12-20;2.573.955
2023-12-19;2.324.870
2023-12-18;2.639.881
2023-12-17;1.131.877
2023-12-16;1.621.247
2023-12-15;2.683.216
2023-12-14;2.230.891
2023-12-13;1.959.057
2023-12-12;2.173.901
2023-12-11;2.126.918
2023-12-10;979.518
2023-12-09;1.263.670
2023-12-08;1.851.099
2023-12-07;2.351.150
2023-12-06;2.381.792
2023-12-05;2.274.652
2023-12-04;2.343.284
2023-12-03;1.083.487
2023-12-02;1.608.800
2023-12-01;2.476.848
2023-11-30;2.327.020
2023-11-29;2.024.653
2023-11-28;1.942.379
2023-11-27;1.885.625
2023-11-26;904.571
2023-11-25;1.363.440
2023-11-24;2.130.431
2023-11-23;2.419.869
2023-11-22;2.046.905
2023-11-21;2.038.599
2023-11-20;1.996.639
2023-11-19;907.177
2023-11-18;1.231.814
2023-11-17;2.007.951
2023-11-16;2.277.703
2023-11-15;2.132.307
2023-11-14;1.917.250
2023-11-13;1.767.085
2023-11-12;881.981
2023-11-11;1.155.836
2023-11-10;2.144.724
2023-11-09;1.976.023
2023-11-08;2.091.918
2023-11-07;2.065.997
2023-11-06;2.264.186
2023-11-05;917.289
2023-11-04;994.835
2023-11-03;1.108.935
2023-11-02;1.340.812
2023-11-01;2.490.184
2023-10-31;2.356.707
2023-10-30;1.828.034
2023-10-29;845.459
2023-10-28;1.061.179
2023-10-27;1.846.688
2023-10-26;1.816.905
2023-10-25;1.918.956
2023-10-24;1.767.880
2023-10-23;1.702.137
2023-10-22;814.634
2023-10-21;1.149.002
2023-10-20;2.154.628
2023-10-19;2.380.910
2023-10-18;1.756.017
2023-10-17;1.915.227
2023-10-16;2.110.669
2023-10-15;856.187
2023-10-14;1.288.410
2023-10-13;2.128.540
2023-10-12;1.869.775
2023-10-11;1.827.239
2023-10-10;1.875.457
2023-10-09;1.001.837
2023-10-08;776.902
2023-10-07;1.272.982
2023-10-06;2.077.263
2023-10-05;2.172.134
2023-10-04;2.136.816
2023-10-03;2.106.619
2023-10-02;2.442.052
2023-10-01;1.055.572
2023-09-30;1.591.473
2023-09-29;2.135.934
2023-09-28;1.999.223
2023-09-27;1.832.860
2023-09-26;1.704.708
2023-09-25;1.802.362
2023-09-24;813.807
2023-09-23;1.046.397
2023-09-22;2.038.254
2023-09-21;1.795.129
2023-09-20;2.057.698
2023-09-19;1.745.226
2023-09-18;2.019.876
2023-09-17;882.023
2023-09-16;1.304.285
2023-09-15;2.240.403
2023-09-14;1.783.032
2023-09-13;1.698.553
2023-09-12;1.574.544
2023-09-11;1.747.683
2023-09-10;806.072
2023-09-09;1.145.128
2023-09-08;2.123.281
2023-09-07;1.704.621
2023-09-06;2.119.112
2023-09-05;2.062.304
2023-09-04;2.117.287
2023-09-03;969.373
2023-09-02;1.348.126
2023-09-01;2.235.600
2023-08-31;2.267.676
2023-08-30;1.853.112
2023-08-29;1.872.733
2023-08-28;1.715.200
2023-08-27;831.977
2023-08-26;1.128.241
2023-08-25;1.976.196
2023-08-24;1.634.191
2023-08-23;1.670.880
2023-08-22;1.585.633
2023-08-21;1.653.828
2023-08-20;782.098
2023-08-19;1.647.478
2023-08-18;1.948.077
2023-08-17;1.801.920
2023-08-16;2.096.363
2023-08-15;2.188.153
2023-08-14;1.788.682
2023-08-13;751.872
2023-08-12;928.754
2023-08-11;1.117.079
2023-08-10;1.830.363
2023-08-09;1.748.675
2023-08-08;1.751.525
2023-08-07;1.917.194
2023-08-06;862.514
2023-08-05;1.252.262
2023-08-04;2.221.664
2023-08-03;2.205.215
2023-08-02;1.875.312
2023-08-01;2.228.891
2023-07-31;2.200.001
2023-07-30;861.323
2023-07-29;1.254.259
2023-07-28;1.988.979
2023-07-27;1.674.510
2023-07-26;1.583.082
2023-07-25;1.505.791
2023-07-24;1.384.508
2023-07-23;770.012
2023-07-22;1.112.008
2023-07-21;1.710.411
2023-07-20;1.921.133
2023-07-19;1.977.655
2023-07-18;1.821.713
2023-07-17;2.026.907
2023-07-16;874.508
2023-07-15;1.274.675
2023-07-14;1.931.848
2023-07-13;1.754.061
2023-07-12;1.711.898
2023-07-11;1.678.926
2023-07-10;1.855.654
2023-07-09;807.412
2023-07-08;1.144.233
2023-07-07;1.782.002
2023-07-06;2.004.447
2023-07-05;2.102.907
2023-07-04;2.202.117
2023-07-03;2.257.036
2023-07-02;992.876
2023-07-01;1.478.968
2023-06-30;2.228.765
2023-06-29;1.863.403
2023-06-28;1.584.014
2023-06-27;1.494.309
2023-06-26;1.535.981
2023-06-25;779.471
2023-06-24;1.028.508
2023-06-23;1.614.641
2023-06-22;1.812.785
2023-06-21;1.904.506
2023-06-20;1.713.344
2023-06-19;1.722.013
2023-06-18;845.490
2023-06-17;1.254.824
2023-06-16;2.133.632
2023-06-15;2.025.881
2023-06-14;1.681.566
2023-06-13;1.604.593
2023-06-12;1.689.775
2023-06-11;819.845
2023-06-10;1.155.070
2023-06-09;2.092.575
2023-06-08;1.837.663
2023-06-07;1.971.019
2023-06-06;1.831.909
2023-06-05;1.960.405
2023-06-04;914.353
2023-06-03;1.366.367
2023-06-02;2.223.894
2023-06-01;2.169.713
2023-05-31;2.453.195
2023-05-30;2.195.911
2023-05-29;1.810.971
2023-05-28;742.060
2023-05-27;908.039
2023-05-26;1.106.856
2023-05-25;1.828.832
2023-05-24;1.793.903
2023-05-23;1.526.516
2023-05-22;1.690.878
2023-05-21;828.730
2023-05-20;1.216.911
2023-05-19;2.232.347
2023-05-18;1.894.873
2023-05-17;1.969.337
2023-05-16;2.041.568
2023-05-15;1.960.638
2023-05-14;819.435
2023-05-13;1.238.733
2023-05-12;1.976.992
2023-05-11;2.082.757
2023-05-10;1.700.568
2023-05-09;1.829.735
2023-05-08;1.917.264
2023-05-07;872.525
2023-05-06;1.222.778
2023-05-05;2.032.146
2023-05-04;2.388.131
2023-05-03;2.074.937
2023-05-02;2.365.618
2023-05-01;1.219.482
2023-04-30;900.972
2023-04-29;1.312.176
2023-04-28;2.250.813
2023-04-27;1.703.754
2023-04-26;1.779.994
2023-04-25;1.793.003
2023-04-24;1.614.302
2023-04-23;787.721
2023-04-22;1.132.571
2023-04-21;1.797.625
2023-04-20;1.758.980
2023-04-19;2.081.959
2023-04-18;1.800.827
2023-04-17;2.104.780
2023-04-16;895.836
2023-04-15;1.343.957
2023-04-14;2.170.462
2023-04-13;1.753.961
2023-04-12;1.695.493
2023-04-11;1.769.204
2023-04-10;1.855.329
2023-04-09;781.058
2023-04-08;919.169
2023-04-07;1.047.123
2023-04-06;1.964.318
2023-04-05;2.251.114
2023-04-04;2.058.248
2023-04-03;2.193.917
2023-04-02;917.613
2023-04-01;1.407.254
2023-03-31;2.231.327
2023-03-30;1.649.295
2023-03-29;1.561.241
2023-03-28;1.559.948
2023-03-27;1.478.439
2023-03-26;741.747
2023-03-25;1.139.563
2023-03-24;1.887.371
2023-03-23;1.616.290
2023-03-22;1.910.907
2023-03-21;1.636.056
2023-03-20;1.714.058
2023-03-19;813.244
2023-03-18;1.084.345
2023-03-17;1.979.392
2023-03-16;2.118.832
2023-03-15;1.894.361
2023-03-14;1.820.283
2023-03-13;1.721.804
2023-03-12;774.736
2023-03-11;1.205.631
2023-03-10;1.880.140
2023-03-09;1.789.701
2023-03-08;1.631.936
2023-03-07;1.808.925
2023-03-06;1.847.770
2023-03-05;827.338
2023-03-04;1.391.262
2023-03-03;2.089.018
2023-03-02;2.054.748
2023-03-01;2.120.237
2023-02-28;3.025.236
2023-02-27;1.888.598
2023-02-26;739.730
2023-02-25;1.047.262
2023-02-24;2.034.468
2023-02-23;1.570.624
2023-02-22;1.785.702
2023-02-21;720.758
2023-02-20;711.482
2023-02-19;673.375
2023-02-18;915.136
2023-02-17;1.878.466
2023-02-16;1.976.668
2023-02-15;1.825.413
2023-02-14;1.770.565
2023-02-13;1.746.825
2023-02-12;757.864
2023-02-11;1.048.389
2023-02-10;1.945.378
2023-02-09;1.630.041
2023-02-08;2.209.404
2023-02-07;1.721.139
2023-02-06;1.156.351
2023-02-05;713.155
2023-02-04;1.376.779
2023-02-03;1.982.549
2023-02-02;1.829.311
2023-02-01;1.917.632
2023-01-31;2.388.856
2023-01-30;2.360.098
2023-01-29;712.299
2023-01-28;967.080
2023-01-27;2.069.044
2023-01-26;1.478.887
2023-01-25;1.393.853
2023-01-24;1.443.814
2023-01-23;1.751.348
2023-01-22;700.828
2023-01-21;1.006.307
2023-01-20;1.806.280
2023-01-19;1.984.401
2023-01-18;1.513.414
2023-01-17;1.587.770
2023-01-16;1.882.723
2023-01-15;783.014
2023-01-14;1.033.026
2023-01-13;1.868.999
2023-01-12;1.443.477
2023-01-11;1.490.378
2023-01-10;1.489.405
2023-01-09;1.562.013
2023-01-08;710.366
2023-01-07;1.002.486
2023-01-06;1.633.295
2023-01-05;2.155.137
2023-01-04;1.630.952
2023-01-03;2.026.330
2023-01-02;850.657
2023-01-01;433.157
2022-12-31;1.120.495
2022-12-30;2.120.796
2022-12-29;1.959.562
2022-12-28;1.710.614
2022-12-27;1.794.410
2022-12-26;1.048.503
2022-12-25;547.505
2022-12-24;1.203.129
2022-12-23;1.999.764
2022-12-22;2.172.358
2022-12-21;2.203.926
2022-12-20;2.095.767
2022-12-19;2.954.034
2022-12-18;887.948
2022-12-17;1.313.551
2022-12-16;2.251.261
2022-12-15;2.508.239
2022-12-14;2.107.715
2022-12-13;1.775.981
2022-12-12;1.743.968
2022-12-11;846.627
2022-12-10;1.097.126
2022-12-09;1.842.968
2022-12-08;1.894.652
2022-12-07;2.338.323
2022-12-06;1.773.768
2022-12-05;1.650.688
2022-12-04;840.632
2022-12-03;1.171.491
2022-12-02;2.104.484
2022-12-01;2.328.072
2022-11-30;2.064.212
2022-11-29;1.760.346
2022-11-28;2.206.975
2022-11-27;754.327
2022-11-26;988.743
2022-11-25;2.451.003
2022-11-24;1.621.673
2022-11-23;1.743.760
2022-11-22;1.712.015
2022-11-21;1.550.792
2022-11-20;701.411
2022-11-19;1.413.737
2022-11-18;2.317.287
2022-11-17;1.677.916
2022-11-16;1.754.417
2022-11-15;1.870.256
2022-11-14;1.802.205
2022-11-13;751.240
2022-11-12;1.068.059
2022-11-11;1.729.611
2022-11-10;1.927.806
2022-11-09;2.028.529
2022-11-08;1.790.926
2022-11-07;1.758.118
2022-11-06;726.274
2022-11-05;800.017
2022-11-04;868.532
2022-11-03;1.221.721
2022-11-02;2.091.549
2022-11-01;1.939.469
2022-10-31;1.936.796
2022-10-30;765.422
2022-10-29;1.051.720
2022-10-28;1.736.297
2022-10-27;1.604.431
2022-10-26;1.644.967
2022-10-25;1.385.105
2022-10-24;1.541.800
2022-10-23;862.728
2022-10-22;988.697
2022-10-21;1.618.594
2022-10-20;1.768.894
2022-10-19;1.845.521
2022-10-18;1.625.591
2022-10-17;1.948.820
2022-10-16;795.869
2022-10-15;1.083.913
2022-10-14;1.936.360
2022-10-13;1.564.079
2022-10-12;1.489.944
2022-10-11;1.654.009
2022-10-10;888.054
2022-10-09;666.835
2022-10-08;1.006.079
2022-10-07;1.714.683
2022-10-06;1.784.264
2022-10-05;1.786.666
2022-10-04;1.717.000
2022-10-03;2.149.492
2022-10-02;902.821
2022-10-01;1.306.033
2022-09-30;2.052.759
2022-09-29;1.688.328
2022-09-28;1.676.213
2022-09-27;1.406.047
2022-09-26;1.415.911
2022-09-25;667.437
2022-09-24;874.501
2022-09-23;1.464.466
2022-09-22;1.507.628
2022-09-21;1.705.570
2022-09-20;1.509.154
2022-09-19;1.557.525
2022-09-18;801.486
2022-09-17;1.029.696
2022-09-16;1.907.946
2022-09-15;1.838.345
2022-09-14;1.479.122
2022-09-13;1.467.357
2022-09-12;1.741.787
2022-09-11;721.830
2022-09-10;1.022.161
2022-09-09;1.561.149
2022-09-08;1.697.785
2022-09-07;1.725.777
2022-09-06;1.909.595
2022-09-05;1.858.022
2022-09-04;819.589
2022-09-03;1.257.346
2022-09-02;1.849.571
2022-09-01;1.985.283
2022-08-31;2.276.613
2022-08-30;1.790.307
2022-08-29;1.643.222
2022-08-28;701.892
2022-08-27;1.144.933
2022-08-26;1.591.707
2022-08-25;1.581.727
2022-08-24;1.429.038
2022-08-23;1.448.078
2022-08-22;1.549.936
2022-08-21;749.615
2022-08-20;1.049.002
2022-08-19;2.219.748
2022-08-18;1.716.795
2022-08-17;1.601.816
2022-08-16;1.979.959
2022-08-15;1.944.211
2022-08-14;748.958
2022-08-13;856.834
2022-08-12;1.136.887
2022-08-11;1.934.010
2022-08-10;1.709.257
2022-08-09;1.602.212
2022-08-08;1.677.793
2022-08-07;732.346
2022-08-06;1.082.562
2022-08-05;1.929.504
2022-08-04;1.869.149
2022-08-03;1.635.300
2022-08-02;1.865.300
2022-08-01;2.073.161
2022-07-31;850.430
2022-07-30;1.144.730
2022-07-29;2.078.696
2022-07-28;1.896.173
2022-07-27;1.649.212
2022-07-26;1.409.309
2022-07-25;1.467.301
2022-07-24;684.380
2022-07-23;905.525
2022-07-22;1.623.304
2022-07-21;1.674.954
2022-07-20;2.172.574
2022-07-19;1.486.582
2022-07-18;1.920.720
2022-07-17;765.329
2022-07-16;1.163.160
2022-07-15;1.829.040
2022-07-14;1.674.953
2022-07-13;1.521.987
2022-07-12;1.615.235
2022-07-11;1.825.199
2022-07-10;805.547
2022-07-09;1.018.447
2022-07-08;1.749.679
2022-07-07;2.049.581
2022-07-06;2.099.135
2022-07-05;1.806.987
2022-07-04;1.885.113
2022-07-03;967.618
2022-07-02;1.216.130
2022-07-01;2.156.954
2022-06-30;2.029.763
2022-06-29;1.624.744
2022-06-28;1.550.058
2022-06-27;1.370.614
2022-06-26;710.784
2022-06-25;1.017.516
2022-06-24;1.360.602
2022-06-23;1.425.372
2022-06-22;1.511.484
2022-06-21;1.408.503
2022-06-20;1.507.540
2022-06-19;721.530
2022-06-18;1.153.555
2022-06-17;1.786.873
2022-06-16;1.702.555
2022-06-15;1.712.274
2022-06-14;1.647.857
2022-06-13;1.606.659
2022-06-12;842.715
2022-06-11;1.106.623
2022-06-10;1.782.419
2022-06-09;1.659.965
2022-06-08;1.638.325
2022-06-07;1.787.194
2022-06-06;1.728.605
2022-06-05;922.981
2022-06-04;1.341.392
2022-06-03;1.759.345
2022-06-02;1.973.804
2022-06-01;1.859.141
2022-05-31;1.955.936
2022-05-30;1.718.712
2022-05-29;730.428
2022-05-28;1.048.875
2022-05-27;1.728.603
2022-05-26;1.764.699
2022-05-25;1.532.178
2022-05-24;1.530.370
2022-05-23;953.579
2022-05-22;693.857
2022-05-21;1.019.590
2022-05-20;1.899.876
2022-05-19;1.896.842
2022-05-18;1.641.393
2022-05-17;1.670.599
2022-05-16;2.127.257
2022-05-15;839.703
2022-05-14;1.080.877
2022-05-13;1.815.979
2022-05-12;1.704.294
2022-05-11;1.564.044
2022-05-10;1.563.484
2022-05-09;1.567.448
2022-05-08;860.024
2022-05-07;1.187.403
2022-05-06;1.949.761
2022-05-05;2.065.546
2022-05-04;1.806.070
2022-05-03;2.034.358
2022-05-02;1.066.945
2022-05-01;896.047
2022-04-30;1.233.601
2022-04-29;1.996.825
2022-04-28;1.697.355
2022-04-27;1.460.361
2022-04-26;1.777.867
2022-04-25;1.658.675
2022-04-24;734.961
2022-04-23;985.852
2022-04-22;1.498.833
2022-04-21;1.520.685
2022-04-20;1.675.642
2022-04-19;1.742.711
2022-04-18;1.861.712
2022-04-17;828.655
2022-04-16;961.324
2022-04-15;970.313
2022-04-14;1.956.161
2022-04-13;1.620.738
2022-04-12;1.600.636
2022-04-11;1.449.928
2022-04-10;839.545
2022-04-09;1.080.012
2022-04-08;1.678.054
2022-04-07;1.975.597
2022-04-06;1.764.944
2022-04-05;1.841.087
2022-04-04;1.752.619
2022-04-03;853.665
2022-04-02;1.172.680
2022-04-01;1.956.134
2022-03-31;1.961.456
2022-03-30;1.678.421
2022-03-29;1.413.806
2022-03-28;1.524.423
2022-03-27;656.755
2022-03-26;961.641
2022-03-25;1.310.377
2022-03-24;1.303.834
2022-03-23;1.394.581
2022-03-22;1.486.131
2022-03-21;1.508.400
2022-03-20;727.217
2022-03-19;1.118.134
2022-03-18;1.770.649
2022-03-17;1.936.791
2022-03-16;1.842.797
2022-03-15;1.828.066
2022-03-14;1.500.524
2022-03-13;733.406
2022-03-12;1.082.815
2022-03-11;1.854.355
2022-03-10;1.517.883
2022-03-09;1.493.387
2022-03-08;1.615.984
2022-03-07;1.672.431
2022-03-06;806.188
2022-03-05;1.066.096
2022-03-04;1.811.090
2022-03-03;2.560.267
2022-03-02;1.881.099
2022-03-01;874.686
2022-02-28;746.352
2022-02-27;683.642
2022-02-26;1.209.577
2022-02-25;1.898.475
2022-02-24;1.581.443
2022-02-23;1.721.428
2022-02-22;1.575.394
2022-02-21;1.520.616
2022-02-20;700.494
2022-02-19;1.073.245
2022-02-18;1.582.843
2022-02-17;1.518.063
2022-02-16;2.273.471
2022-02-15;1.685.181
2022-02-14;1.721.214
2022-02-13;696.027
2022-02-12;991.171
2022-02-11;2.043.749
2022-02-10;1.704.252
2022-02-09;1.366.953
2022-02-08;2.117.110
2022-02-07;1.499.703
2022-02-06;801.726
2022-02-05;995.981
2022-02-04;1.658.699
2022-02-03;1.652.385
2022-02-02;2.313.499
2022-02-01;1.877.223
2022-01-31;1.673.949
2022-01-30;686.444
2022-01-29;923.899
2022-01-28;1.448.700
2022-01-27;1.544.718
2022-01-26;1.135.868
2022-01-25;1.411.633
2022-01-24;1.184.161
2022-01-23;612.381
2022-01-22;841.514
2022-01-21;1.338.117
2022-01-20;1.560.472
2022-01-19;1.474.798
2022-01-18;1.488.693
2022-01-17;1.691.069
2022-01-16;652.809
2022-01-15;921.092
2022-01-14;1.631.235
2022-01-13;1.365.000
2022-01-12;1.304.719
2022-01-11;1.321.279
2022-01-10;1.290.406
2022-01-09;676.050
2022-01-08;859.896
2022-01-07;1.386.668
2022-01-06;1.379.178
2022-01-05;1.333.217
2022-01-04;1.493.883
2022-01-03;1.514.070
2022-01-02;668.323
2022-01-01;397.752
;
